ISWC;workId;title;creators;source;date
;100001124876;HEAVENLY PINEAPPLE;AXELROD VICTOR, BAZ LUHRMANN, BRENNECK THOMAS R, FURLER SIA KATE I, HILL JOHN GRAHAM, MOVSHON NICHOLAS ANTHONY, STEINWEISS HOMER;KOMCA;2023.10.18
;100003295279;HEY BOY;FURLER SIA KATE ISOBELLE, PURCELL CAMILLE ANGELINA, SHATKIN JESSE SAMUEL;KOMCA;2023.10.18
T-302.115.211-0;100003289071;HEY BOY;CAMILLE ANGELINA PURCELL, FURLER SIA KATE I, SHATKIN JESSE SAMUEL;KOMCA;2023.10.18
T-060.730.453-9;100001124877;HILLS AND PEAKS;DIXON SAMUEL RONALD, FURLER SIA KATE I;KOMCA;2023.10.18
T-060.821.846-7;100001124878;HOLD ME DOWN;CAREY DANIEL DE MUSSENDEN, FURLER SIA KATE I;KOMCA;2023.10.18
T-061.187.527-4;100001124879;HOLD ON;FURLER SIA KATE I, MERCER;KOMCA;2023.10.18
;100001124880;HOLOGRAM (SMOKE AND MIRRORS);FURLER SIA KATE I, GARIBAY FERNANDO;KOMCA;2023.10.18
;100001273309;HOME IS THE ENEMY;FURLER SIA KATE I, KRAUS OLIVER, LEAK JASPER, MEIRELES CID EDUARDO;KOMCA;2023.10.18
T-060.418.414-6;100001124881;HOW TO BREATHE;FURLER SIA KATE I, MARK GREENROD, STEPHEN TOSELLO SALVI;KOMCA;2023.10.18
T-060.418.415-7;100001124882;HOW TO BREATHE (ACAPELLA VERSION);FURLER SIA KATE I, MARK GREENROD, STEPHEN TOSELLO SALVI;KOMCA;2023.10.18
T-060.312.948-1;100001124883;HURT A LITTLE LESS;FLAVELL JESSE HEATH, FURLER SIA KATE I;KOMCA;2023.10.18
T-061.094.687-6;100001124884;HURTING ME NOW;FURLER SIA KATE I, KURSTIN GREG;KOMCA;2023.10.18
T-061.238.266-7;100001124885;I AM FOUND;DIXON SAMUEL RONALD, FURLER SIA KATE I;KOMCA;2023.10.18
;100001124886;I AM ME;FUEGO, FURLER SIA KATE I, WILLOW SMITH;KOMCA;2023.10.18
T-060.877.454-4;100001124887;I DON'T LOVE ME;FRANK SAM, FURLER SIA KATE I;KOMCA;2023.10.18
T-915.773.982-7;100001124888;I DON'T NEED ANYTHING BUT YOU (2014 FILM VERSION);CHARNIN MARTIN, FURLER SIA KATE I, GLUCK WILLIAM, KURSTIN GREG, STROUSE CHARLES;KOMCA;2023.10.18
;100001124889;I DON'T WANT TO PLAY;FURLER SIA KATE I, NIK KERSHAW;KOMCA;2023.10.18
T-060.877.456-6;100001124890;I LOVE EVERYTHING;FURLER SIA KATE I, HENRY PRIESTMAN, MICHAEL HARWOOD;KOMCA;2023.10.18
T-061.293.370-6;100001124891;I LOVE IT;FRANCIS BARRY JOHN M, FURLER SIA KATE I, LAMBERT MATTHEW DAVID, SMITH DANIEL HOWE;KOMCA;2023.10.18
T-061.293.370-6;100001124892;I LOVE IT(FEAT SIA) (TRIALS REMIX);DANIEL RANKINE, FRANCIS BARRY JOHN M, FURLER SIA KATE I, LAMBERT MATTHEW DAVID, SMITH DANIEL HOWE;KOMCA;2023.10.18
T-915.903.362-2;100001124893;I THINK I'M GONNA LIKE IT HERE (2014 FILM VERSION);CHARNIN MARTIN, FURLER SIA KATE I, GLUCK WILLIAM, KURSTIN GREG, STROUSE CHARLES;KOMCA;2023.10.18
;100001124894;I'LL LIVE YOUR DREAM;FRANK SAM, FURLER SIA KATE I;KOMCA;2023.10.18
T-060.653.808-2;100001124895;I'M NOT IMPORTANT TO YOU;FRANK SAM, FURLER SIA KATE I;KOMCA;2023.10.18
T-926.804.404-8;100002489537;I'M STILL HERE;FURLER SIA KATE I, SHATKIN JESSE SAMUEL;KOMCA;2023.10.18
;100001124896;I'M THE LAST ONE STANDING;FURLER SIA KATE I, J ROCSTAR;KOMCA;2023.10.18
T-060.877.458-8;100001124897;I'VE BEEN STUNG;FRANK SAM, FURLER SIA KATE I;KOMCA;2023.10.18
;100001124898;IF I CAN'T HAVE YOU;BINNS HENRY, DEDI MADDEN, FURLER SIA KATE I, HARDAKER SAM;KOMCA;2023.10.18
;100001124899;IF YOU SAY SO;CHRISTOPHER BRAIDE, FURLER SIA KATE I, MICHELLE, LEA;KOMCA;2023.10.18
T-910.061.659-9;100001124900;ILLUMINATION;AUGELLO-COOK ALICIA J, FURLER SIA KATE I;KOMCA;2023.10.18
;100001124901;INSIDIOUSLY;FRANK SAM, FURLER SIA KATE I;KOMCA;2023.10.18
;100001124902;INTERLUDES;FLAVELL JESSE HEATH, FURLER SIA KATE I;KOMCA;2023.10.18
T-061.548.556-7;100001124903;INVINCIBLE;FURLER SIA KATE I, SHATKIN JESSE SAMUEL, STEVE MOSTYN, WARREN FELDER;KOMCA;2023.10.18
;100001124904;IS GOD ONLY IN SOME;ARMSTRONG ROLLO, FURLER SIA KATE I;KOMCA;2023.10.18
;100002526644;IT'S TIME;FURLER SIA KATE I, MCKENZIE TIMOTHY LEE, PENTZ THOMAS;KOMCA;2023.10.18
T-060.877.459-9;100001124905;JAZZ HANDS;FURLER SIA KATE I, MACKICHAN BLAIR NICHOLAS SOMERLED;KOMCA;2023.10.18
;100001420012;JE TE PARDONNE FEAT SIA;DJUNA GANDHI, REBILLAUD RENAUD;KOMCA;2023.10.18
T-060.664.305-3;100001124906;JUDGE ME;FRANK SAM, FURLER SIA KATE I;KOMCA;2023.10.18
T-060.311.741-4;100001124907;JUNGLE;FURLER SIA KATE I, GLOVER JEREMY THOMAS, GURTON BEN SHAUN, LANGLEY SAMUEL, ROONEY STEVEN DAVID;KOMCA;2023.10.18
T-910.386.429-5;100000676490;KILL AND RUN;BRAIDE CHRISTOPHER KENNET, FURLER SIA KATE I;KOMCA;2023.10.18
T-909.999.440-8;100001124908;KILL F K MARRY;ERIKSEN MIKKEL STORLEER, FURLER SIA KATE I, HERMANSEN TOR ERIK;KOMCA;2023.10.18
