ISWC;workId;title;creators;source
T0614761157;887887413;GREEN CARD;FABRICIUS NANNA OLAND, FURLER SIA KATE I, MICHAELS GRANT PHILLIP;ASCAP
T0614423425;885186031;GUITARS AND MICROPHONES;BRAIDE CHRISTOPHER KENNETH, FURLER SIA KATE I, PIERSON KATE;ASCAP
T0615198894;887185702;GUTS OVER FEAR;FURLER SIA KATE I, HAYNIE EMILE, HILL JOHN GRAHAM, MATHERS MARSHALL B, RESTO LUIS EDGARDO;ASCAP
T9170335474;888936483;HEAD HIGH;FURLER SIA KATE I, MECKSEPER PHILIP, PENTZ THOMAS WESLEY, SWANSON ANDREW FITZGERALD;ASCAP
T0606733394;883896833;HEALING IS DIFFICULT;FRANK SAM, FURLER SIA KATE I;ASCAP
T9296521943;898249749;HEART OF GLASS;FURLER SIA KATE I, KURSTIN GREG;ASCAP
T9283171517;896777886;HEAVEN CAN WAIT;FURLER SIA KATE I, MCKENZIE TIMOTHY LEE, MECKSEPER PHILIP, PENTZ THOMAS WESLEY;ASCAP
 ;887673442;HEAVENLY PINEAPPLE;AXELROD VICTOR, BRENNECK THOMAS, FURLER SIA KATE I, HILL JOHN GRAHAM, MOVSHON NICK, STEINWEISS HOMER;ASCAP
T3021152110;909999905;HEY BOY;FURLER SIA KATE I, PURCELL CAMILLE ANGELINA, SHATKIN JESSE SAMUEL;ASCAP
 ;910051938;HEY BOY (REMIX FT. BURNA BOY);FURLER SIA KATE I, OGULU DAMINI EBUNOLUWA, PURCELL CAMILLE, SHATKIN JESSE SAMUEL;ASCAP
 ;910755419;HEY BOY (REMIX);FURLER SIA KATE I, OGULU DAMINI EBUNOLUWA, PURCELL KAMILLE, SHATKIN JESSE SAMUEL;ASCAP
T9226414693;892675499;HEY HEY HEY;FURLER SIA KATE I, HUDSON SARAH THERESA, MAX MARTIN, PAYAMI ALI, PERRY KATY;ASCAP
